date,murabaha_immobiliere_kDH,murabaha_total_kDH,murabaha_hors_marges_kDH,murabaha_immobiliere_hors_marges_kDH,murabaha_automobile_kDH,murabaha_equipement_kDH,murabaha_matieres_premieres_kDH,depot_vue_kDH,depot_investissement_kDH,credit_habitat_MDH,credit_habitat_participatif_MDH,credit_habitat_participatif_flash_MDH,ipai_global,ipai_residentiel,ipai_appartement,ipai_maison,policy_rate_pct,lending_rate_credits_immobiliers_pct,lending_rate_global_pct,lending_rate_credits_equipement_pct,lending_rate_credits_consommation_pct,murabaha_immobiliere_growth_yoy_pct,murabaha_total_growth_yoy_pct,credit_habitat_growth_yoy_pct,murabaha_immobiliere_MDH,penetration_murabaha_in_habitat_pct
2023-09-01,22475109.0,26797336.0,20280901.0,16557005.0,1526569.0,2795658.0,,7861892.0,2742566.0,239000000.0,14161211.0,18900000.0,106.0780099871633,106.6582537230376,106.212014038202,106.8307920161156,3.0,5.21,5.36,5.11,7.25,61.62101605228687,31.720274610988408,2.531102531102536,22475.109,0.009402927063553671
2023-10-01,22723362.0,27234573.0,20604156.0,16725273.0,1502599.0,3008612.0,,8098717.0,2868184.0,239000000.0,14161211.0,18900000.0,106.2559725579189,106.5683459150107,106.2220763703402,105.8131779603209,3.0,5.14,5.36,4.91,7.18,59.30516488799882,33.86947995401521,100315.10512075022,22723.362,0.00950677897079495
2023-11-01,23115497.0,27644290.0,20805123.0,16933328.0,1512303.0,3016490.0,,8349308.0,2944581.0,239000000.0,14161211.0,18900000.0,106.2559725579189,106.5683459150107,106.2220763703402,105.8131779603209,3.0,5.14,5.36,4.91,7.18,59.88931318381647,35.88341282229699,100315.10512075022,23115.497,0.00967082072875505
2023-12-01,23461416.0,28086984.0,21309057.0,17349239.0,1551535.0,3074033.0,,9085650.0,3001645.0,244000000.0,14161211.0,21600000.0,106.2559725579189,106.5683459150107,106.2220763703402,105.8131779603209,3.0,5.14,5.36,4.91,7.18,60.31556069955683,38.059441635334124,2.092050209205021,23461.416,0.009614409968557922
2024-01-01,23635178.0,28371258.0,21539085.0,17474121.0,1567160.0,3168920.0,,8993993.0,3096135.0,244000000.0,14161211.0,21600000.0,105.7104093121784,105.8608399317106,105.5541642272241,105.3282273514575,3.0,5.05,5.4,5.13,7.22,60.211601089878066,39.456768942226276,2.092050209205021,23635.178,0.009685610159343628
2024-02-01,23923052.0,28761965.0,21858620.0,17703415.0,1578927.0,3259986.0,,9005340.0,3096577.0,244000000.0,14161211.0,21600000.0,105.7104093121784,105.8608399317106,105.5541642272241,105.3282273514575,3.0,5.05,5.4,5.13,7.22,16.0850835868529,19.64076860864006,2.092050209205021,23923.052,0.009803568314448475
2024-03-01,24182328.0,29151024.0,22153858.0,17901805.0,1587595.0,3381101.0,,9239682.0,3238295.0,244000000.0,14161211.0,21600000.0,105.7104093121784,105.8608399317106,105.5541642272241,105.3282273514575,3.0,5.05,5.4,5.13,7.22,15.224383363505755,19.046730142140888,2.092050209205021,24182.328,0.009909808023655554
2024-04-01,24565642.0,29616023.0,22394309.0,18079326.0,1598207.0,3452174.0,,9511105.0,3416331.0,244000000.0,14161211.0,21600000.0,105.836091613151,106.0721635437391,105.7576443488527,105.7871963295649,3.0,5.3,5.43,5.02,7.03,15.552243442387525,19.38649113232693,2.092050209205021,24565.642,0.010066872544315642
2024-05-01,24950155.0,30105110.0,22900592.0,18494657.0,1639591.0,3515364.0,,9635786.0,3384855.0,244000000.0,14161211.0,21600000.0,105.836091613151,106.0721635437391,105.7576443488527,105.7871963295649,3.0,5.3,5.43,5.02,7.03,17.360921586551758,21.35807188064134,2.092050209205021,24950.155,0.010224427864508171
2024-06-01,25348083.0,30639115.0,23313450.0,18793511.0,1665353.0,3625679.0,,9912013.0,3410096.0,244000000.0,14161211.0,21600000.0,105.836091613151,106.0721635437391,105.7576443488527,105.7871963295649,2.75,5.3,5.43,5.02,7.03,15.68632095428033,18.808738154263803,2.092050209205021,25348.083,0.01038747949716207
2024-07-01,25630778.0,30993535.0,23601640.0,19021056.0,1693295.0,3669462.0,,10120309.0,3654267.0,244000000.0,14161211.0,21600000.0,105.8769933935606,106.3187339689451,105.991612868844,106.3239418709322,2.75,5.24,5.21,5.26,7.06,16.219142838422428,18.79534257316933,2.092050209205021,25630.778,0.010503313901201369
